date,title,skills
2020-10-27,Ведущий инженер по внедрению сервисов кибербезопасности,"Информационная безопасность,Ведущий (Lead),Информационная безопасность,Защита информации"
2020-10-27,Ведущий инженер по внедрению сервисов кибербезопасности,"Информационная безопасность,Ведущий (Lead),Информационная безопасность,Защита информации"
2020-10-27,Ведущий инженер по внедрению сервисов кибербезопасности,"Информационная безопасность,Ведущий (Lead),Информационная безопасность,Защита информации"
2020-10-27,Ведущий инженер по внедрению сервисов кибербезопасности,"Информационная безопасность,Старший (Senior),Информационная безопасность,Защита информации"
2020-10-27,Ведущий инженер по внедрению сервисов кибербезопасности,"Информационная безопасность,Ведущий (Lead),Информационная безопасность,Защита информации"
2020-10-27,Ведущий инженер по внедрению сервисов кибербезопасности,"Информационная безопасность,Ведущий (Lead),Информационная безопасность,Защита информации"
2020-10-27,1C Developer,"Разработка ПО,Средний (Middle),Разработка под 1с,Оптимизация кода,Разработка программного обеспечения"
2020-10-27,1C Developer,"Разработка ПО,Средний (Middle),Разработка под 1с,Оптимизация кода,Разработка программного обеспечения"
2020-10-27,1C Developer,"Разработка ПО,Средний (Middle),Разработка под 1с,Оптимизация кода,Разработка программного обеспечения"
2020-10-27,1C Developer,"Разработка ПО,Средний (Middle),Разработка под 1с,Оптимизация кода,Разработка программного обеспечения"
2020-10-27,1C Developer,"Разработка ПО,Средний (Middle),Разработка под 1с,Оптимизация кода,Разработка программного обеспечения"
2020-10-27,Ведущий специалист отдела аудита,"Другое,Старший (Senior),Информационная архитектура,Аудит,Управление рисками"
2020-10-27,Ведущий специалист отдела аудита,"Другое,Старший (Senior),Информационная архитектура,Аудит,Управление рисками"
2020-10-27,ИТ-консультант по решениям Microsoft (проекты по лицензированию),"Другое,Средний (Middle),Управление проектами,Ведение переговоров,Информационные технологии,Управление IT-услугами,Itil"
2020-10-27,ИТ-консультант по решениям Microsoft (проекты по лицензированию),"Другое,Средний (Middle),Управление проектами,Ведение переговоров,Информационные технологии,Управление IT-услугами,Itil"
2020-10-27,ИТ-консультант по решениям Microsoft (проекты по лицензированию),"Другое,Средний (Middle),Управление проектами,Ведение переговоров,Информационные технологии,Управление IT-услугами,Itil"
2020-10-27,ИТ-консультант по решениям Microsoft (проекты по лицензированию),"Другое,Средний (Middle),Управление проектами,Ведение переговоров,Информационные технологии,Управление IT-услугами,Itil"
2020-10-27,ИТ-консультант по решениям Microsoft (проекты по лицензированию),"Другое,Средний (Middle),Управление проектами,Ведение переговоров,Информационные технологии,Управление IT-услугами,Itil"
2020-10-27,ИТ-консультант по решениям Microsoft (проекты по лицензированию),"Другое,Средний (Middle),Управление проектами,Ведение переговоров,Информационные технологии,Управление IT-услугами,Itil"
2020-10-27,ИТ-консультант по решениям Microsoft (проекты по лицензированию),"Другое,Средний (Middle),Управление проектами,Ведение переговоров,Информационные технологии,Управление IT-услугами,Itil"
2020-10-27,ИТ-консультант по решениям Microsoft (проекты по лицензированию),"Другое,Средний (Middle),Управление проектами,Ведение переговоров,Информационные технологии,Управление IT-услугами,Itil"
2020-10-26,Ведущий инженер по сетевой безопасности,"Информационная безопасность,Ведущий (Lead),Cisco ccna,Информационная безопасность,Информационная безопасность,Сетевая безопасность,Проектирование сетей"
2020-10-26,Аналитик Terrasoft,"Аналитика,Системная аналитика,BPMN,BPMN,Внедрение CRM"
2020-10-26,Руководитель группы BI-решений,"Менеджмент,Ведущий (Lead),Qlik Sense,Qlikview,Business intelligence,Создание архитектуры проектов,Проектирование архитектуры приложений"
2020-10-26,"Разработчик Frontend Senior (Vue.js, TypeScript)","Фронтенд,Старший (Senior),Vue.js,Typescript,Webpack,Docker,CI/CD methodologies,PWA"
2020-10-26,Разработчик PHP Senior,"Бэкенд,Старший (Senior),PHP,Symfony,PostgreSQL,Docker,Rabbitmq"
2020-10-26,Team Lead CRM,"Бэкенд,Ведущий (Lead),Microsoft dynamic CRM,C#,ASP.NET MVC"
2020-10-23,ИТ-консультант по решениям Microsoft (проекты по внедрению),"Поддержка,Средний (Middle),Информационная безопасность,Управление проектами,Управление IT-услугами"
2020-10-23,Ведущий специалист отдела аудита,"Другое,Старший (Senior),Информационная архитектура,Аудит,Управление рисками"
2020-10-23,Аналитик СЭД,"Аналитика,Средний (Middle),Аналитика требований,Бизнес аналитика,Анализ требований,Управление требованиями к ПО"
2020-10-23,Инженер Linux,"Другое,Старший (Senior),Linux"
