date,title,skills
2020-03-17,Ведущий аналитик,"Аналитика,Ведущий (Lead),Бизнес аналитика,Анализ требований,Системный анализ,Бизнес-анализ,Управление требованиями к ПО,Проектирование информационных систем"
2020-03-04,Разработчик С#/.NET с бесплатным обучением,"Бэкенд,Стажёр (Intern),C#,Разработка программного обеспечения"
2020-03-04,Разработчик С#/.NET с бесплатным обучением,"Бэкенд,Стажёр (Intern),C#,Разработка программного обеспечения"
2020-02-26,Java-developer,"Разработка ПО,Средний (Middle),Java,Java spring framework,Высоконагруженные системы"
2020-02-19,Системный архитектор,"Разработка ПО,Ведущий (Lead),Java,ООП,JavaScript,Hadoop,Java spring framework,Базы данных,Olap,Датамайнинг"
2020-02-12,Ведущий разработчик Oracle (Банковское ПО),"Бэкенд,Ведущий (Lead),ООП,SQL,Управление разработкой,Pl/sql,Oracle"
2020-02-10,Senior/Team Lead Java-разработчик,"Разработка ПО,Ведущий (Lead),Java,Java spring framework,Hibernate,Java EE,SQL"
2020-01-29,Аналитик (автоматизация банковской отчётности),"Аналитика,Средний (Middle),Системный анализ"
2020-01-29,Системный аналитик/Старший системный аналитик,"Аналитика,Средний (Middle),Системный анализ"
2020-01-29,Программист C# (.Net),"Бэкенд,Средний (Middle),C#,.NET,Visual studio"
2020-01-29,Тестировщик,"Тестирование,Старший (Senior),Тестирование ПО,Нагрузочное тестирование,Функциональное тестирование,XML,Linux"
2020-01-29,TeamLead Data Scientist,"Аналитика,Ведущий (Lead),Python,SQL,Нейронные сети,Машинное обучение,Математическое моделирование"
2020-01-29,Программист С++,"Разработка ПО,Средний (Middle),Linux,C++,Boost,C++ boost"
2020-01-28,Бизнес аналитик,"Аналитика,Оптимизация бизнес-процессов,Разработка ТЗ,Uml,BPMN"
2020-01-26,Старший инженер по автоматизации,"Другое,Старший (Senior),Devops,Scrum,CI/CD methodologies,Zabbix,Windows azure,Red hat linux"
2020-01-26,Пентестер,"Тестирование,Старший (Senior),Тесты на проникновение"
2020-01-26,Team Lead Java,"Разработка ПО,Ведущий (Lead),Java,Java spring framework,Rest,PostgreSQL,Hibernate,Rabbitmq"
2020-01-26,Разработчик OpenText (javascript),"Бэкенд,JavaScript,Ajax,HTML,Extjs,Angular,Mssql,Oracle dba"
2020-01-26,Разработчик frontend (Backbone),"Фронтенд,Средний (Middle),JavaScript,Backbone.js,Marionette.js"
2020-01-26,Инженер сопровождения,"Поддержка,Средний (Middle),PostgreSQL,Java,Python,Linux,Spark"
2020-01-15,Java-разработчик (Camunda),"Бэкенд,Старший (Senior),Camunda,Java,Java spring framework"
2020-01-15,Backend/full stack разработчик (TypeScript),"Бэкенд,Средний (Middle),Node.js,Высоконагруженные системы,Vue.js,Typescript,PostgreSQL,ReactJS,Redux"
2019-11-21,Консультант/Аналитик RPA,"Разработка ПО,Средний (Middle),Бизнес-анализ,BPMN,Описание бизнес-процессов,Разработка ТЗ"
2019-11-19,Инженер службы эксплуатации,"Администрирование,Средний (Middle),Администрирование Linux,Centos"
2019-11-18,Java разработчик,"Бэкенд,Средний (Middle),Java,Java EE,Hibernate,Java spring framework,Oracle"
2019-11-15,Разработчик Android (Java || Kotlin),"Приложения,Средний (Middle),Разработка под Android,Разработка мобильных приложений,Kotlin,Java"
2019-11-14,Инженер отдела корпоративной инфраструктуры,"Поддержка,Средний (Middle),Техническая поддержка,Tcp,Osi model,Microsoft SQL server,Администрирование Linux,MySQL,PostgreSQL,Linux,Openstack"
2019-11-07,Team Lead Java,"Разработка ПО,Ведущий (Lead),Java,Java spring framework,Rest,PostgreSQL,Hibernate,Rabbitmq"
2019-10-31,Java-разработчик,"Приложения,Средний (Middle),Spark,Hadoop,Kafka,Aerospike,Java,Scala,Java spring framework,PostgreSQL"
2019-10-31,Аналитик данных ,"Аналитика,Средний (Middle),Dwh,Hadoop,Python,Базы данных,ООП"
2019-10-31,Администратор Teamcenter,"Администрирование,Средний (Middle),SQL,Oracle"
2019-10-31,Специалист по 1d моделированию,"Другое,Средний (Middle),Моделирование,Английский язык"
2019-10-23, Unity/С# Разработчик,"Разработка ПО,Средний (Middle),C#,Visual studio,Разработка программного обеспечения,Unity3d,Wpf"
2019-10-11,Системный администратор Linux,"Администрирование,Средний (Middle),Red hat linux,Администрирование Linux,Centos,Oracle sql"
2019-10-04,Системный аналитик ,"Аналитика,Старший (Senior),SQL,Системный анализ,Анализ требований,Спецификация программного обеспечения"
2019-10-01,Разработчик С#,"Разработка ПО,Старший (Senior),C#,Wpf,Windows forms,Разработка программного обеспечения,Mssql,.NET"
2019-09-12,Системный администратор Linux,"Администрирование,Старший (Senior),Linux,Red hat linux,Redhat,Centos,Jboss application server,Tomcat,Bash,Python,Zabbix,SQL,PostgreSQL"
2019-09-12,Разработчик C#,"Разработка ПО,Младший (Junior),C#,Oracle sql,Mssql,Visual studio,.NET"
2019-04-10,Разработчик Unity 3D,"Разработка ПО,Средний (Middle),C#,Visual studio,Разработка программного обеспечения,Unity3d,Wpf"
2019-04-03,Разработчик нагрузочных тестов,"Тестирование,Средний (Middle),Linux,SQL,Тестирование ПО,Автоматизация тестирования,Apache jmeter"
2019-05-28,Python Developer (голосовой помощник),"Бэкенд,Python,Saas,C++,HTTP,TensorFlow,Linux,Git"
2019-04-01,Разработчик PHP/Ведущий разработчик PHP,"Бэкенд,Средний (Middle),PHP,Symfony,Docker,Rabbitmq,Redis,PostgreSQL"
2019-03-28,Разработчик автоматизированных тестов,"Тестирование,Средний (Middle),Java,Git,SQL,ООП,XML"
2019-02-21,Архитектор-Тимлид,"Разработка ПО,Ведущий (Lead),Java,JavaScript,React Native,Redux,Angular,Golang,PostgreSQL,MongoDB,Node.js"
2019-02-14,Ведущий разработчик / Архитектор BI,"Разработка ПО,Ведущий (Lead),Oracle plsql,Разработка программного обеспечения,Oracle,Архитектура по,Проектирование баз данных,Business intelligence"
2019-02-07,Java разработчик,"Разработка ПО,Средний (Middle),Java,Hibernate,Oracle,Java spring framework,Высоконагруженные системы,SQL"
2018-09-05,Разработчик PHP / Ведущий разработчик PHP,"Разработка ПО,Средний (Middle),PHP,MySQL,Yii framework,Symfony,Laravel,Zend Framework,ООП"
2018-04-25,Front-end разработчик,"Фронтенд,JavaScript,Angular,ReactJS,Vue.js,ООП,Паттерны проектирования"
2017-08-23,Программист Android,"Разработка ПО,C,C++,Разработка под Android"
2017-08-03,Ведущий инженер по тестированию,"Тестирование,Тестирование ПО,Ручное тестирование,Функциональное тестирование,Регрессионное тестирование,Нагрузочное тестирование,Apache jmeter,Testlink"
2017-07-19,Старший аналитик BPM,"Аналитика,Системный анализ,Анализ требований,Системная аналитика"
2017-07-19,Старший разработчик PEGA,"Разработка ПО,Java,Java EE,Java SE,XML,Jdbc,ООП,Pl/sql,Linux"
2017-07-19,Разработчик Java,"Разработка ПО,Java,Java EE,Hibernate,Xslt,Ibm websphere"
